date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
2000-04-01,AUS,AUD,Australia,2.59,1.68,1.54166666666667,-0.31176,-0.35246,-0.48645,-0.44416,0.28939,29189.4477837838,2.31398212541664,-0.28098,-0.40565,-0.52207,-0.43201,-0.01014
2000-04-01,BRA,BRL,Brazil,2.95,1.79,1.64804469273743,-0.26427,-0.30778,-0.45102,-0.40581,0.37836,4913.91077966102,1.8406502372172,-0.03371,-0.20125,-0.35771,-0.23668,0.33028
2000-04-01,CAN,CAD,Canada,2.85,1.47,1.93877551020408,-0.13448,-0.18566,-0.35417,-0.30099,0.62152,26087.3292350877,2.25349606367377,-0.0715,-0.23249,-0.38283,-0.26653,0.27825
2000-04-01,CHE,CHF,Switzerland,5.9,1.7,3.47058823529412,0.54937,0.45774,0.15609,0.2513,1.90267,23817.4401084746,2.20923706721487,0.6954,0.40144,0.12692,0.33928,1.33403
2000-04-01,CHL,CLP,Chile,1260,514,2.45136186770428,0.09436,0.02964,-0.18342,-0.11618,1.05023,4509.62359822222,1.83276732138581,0.44348,0.1932,-0.04053,0.14028,0.98722
2000-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,-0.46623,-0.49779,-0.60171,-0.56891,0,1620.62212525253,1.77643668194498,-0.27362,-0.39956,-0.51718,-0.42619,0
2000-04-01,CZE,CZK,Czech Republic,54.37,39.1,1.39053708439898,-0.37922,-0.41594,-0.5368,-0.49865,0.16299,9020.84502482987,1.92072850451347,-0.21868,-0.35415,-0.48066,-0.3828,0.07563
2000-04-01,DNK,DKK,Denmark,24.75,8.04,3.07835820895522,0.37427,0.29299,0.02544,0.10988,1.57463,21146.5686755556,2.15715959439659,0.54009,0.27306,0.02369,0.2166,1.12022
2000-04-01,EUZ,EUR,Euro area,2.56,1.075268817,2.38080000045235,0.06286,0,-0.20693,-0.14162,0.99121,19441.1763693739,2.1239073305942,0.20976,0,-0.19588,-0.04435,0.66545
2000-04-01,GBR,GBP,Britain,1.9,0.632911392,3.00200000192128,0.34018,0.26092,0,0.08235,1.51076,20958.6000842105,2.15349452497924,0.50445,0.2436,0,0.18844,1.07115
2000-04-01,HKG,HKD,Hong Kong,10.2,7.79,1.30937098844673,-0.41546,-0.45003,-0.56383,-0.52791,0.09511,42546.0751058824,2.57441375373742,-0.4511,-0.54627,-0.63515,-0.5664,-0.24434
2000-04-01,HUN,HUF,Hungary,339,279,1.21505376344086,-0.45757,-0.48964,-0.59525,-0.56192,0.01623,7499.95699823009,1.89107376191198,-0.30658,-0.42681,-0.53909,-0.45223,-0.04538
2000-04-01,IDN,IDR,Indonesia,14500,7945,1.82504719949654,-0.18525,-0.23343,-0.39206,-0.34199,0.5264,1006.67527620414,1.76446575741858,0.11628,-0.07727,-0.25802,-0.1182,0.53676
2000-04-01,ISR,ILS,Israel,14.5,4.05,3.58024691358025,0.59832,0.5038,0.19262,0.29084,1.99439,12666.7832055172,1.99181812873188,0.93988,0.60353,0.28943,0.5324,1.6706
2000-04-01,JPN,JPY,Japan,294,106,2.77358490566038,0.23821,0.16498,-0.07609,0,1.31973,31783.5932114286,2.36456357098147,0.2659,0.04641,-0.15856,0,0.74275
2000-04-01,KOR,KRW,South Korea,3000,1108,2.70758122743682,0.20874,0.13726,-0.09807,-0.0238,1.26452,9473.39596970667,1.92955248205138,0.51438,0.25181,0.0066,0.19628,1.08483
2000-04-01,MEX,MXN,Mexico,20.9,9.41,2.22104144527099,-0.00846,-0.0671,-0.26015,-0.19922,0.8576,6594.38380095694,1.87341661713716,0.27948,0.05763,-0.14954,0.01072,0.76144
2000-04-01,MYS,MYR,Malaysia,4.52,3.8,1.18947368421053,-0.46898,-0.50039,-0.60377,-0.57114,-0.00517,7085.99320353983,1.88300216849867,-0.31827,-0.43647,-0.54686,-0.46147,-0.06147
2000-04-01,NZL,NZD,New Zealand,3.4,2.01,1.69154228855721,-0.24485,-0.28951,-0.43653,-0.39012,0.41474,19095.9756235294,2.11717650026032,-0.13774,-0.28725,-0.42686,-0.31886,0.18705
2000-04-01,POL,PLN,Poland,5.5,4.3,1.27906976744186,-0.42899,-0.46276,-0.57393,-0.53884,0.06977,7025.39752727273,1.88182065536224,-0.26646,-0.39364,-0.51242,-0.42054,0.00986
2000-04-01,RUS,RUB,Russia,39.5,28.5,1.3859649122807,-0.38127,-0.41786,-0.53832,-0.5003,0.15917,1990.70195037975,1.78365261222007,-0.1614,-0.30681,-0.44259,-0.33755,0.15448
2000-04-01,SGP,SGD,Singapore,3.2,1.7,1.88235294117647,-0.15966,-0.20936,-0.37297,-0.32133,0.57433,25861.0541,2.24908408148258,-0.09675,-0.25337,-0.39962,-0.28648,0.24348
2000-04-01,SWE,SEK,Sweden,24,8.84,2.71493212669683,0.21202,0.14034,-0.09563,-0.02115,1.27067,23850.8760933333,2.2098890123333,0.32586,0.09598,-0.1187,0.04736,0.8253
2000-04-01,THA,THB,Thailand,55,38,1.44736842105263,-0.35385,-0.39207,-0.51787,-0.47816,0.21053,3131.31668945455,1.80589266928091,-0.13504,-0.28501,-0.42506,-0.31672,0.19078
2000-04-01,TWN,TWD,Taiwan,70,30.6,2.28758169934641,0.02124,-0.03915,-0.23798,-0.17523,0.91325,14201.457536,2.02174168092746,0.22113,0.0094,-0.18832,-0.03537,0.68111
2000-04-01,USA,USD,United States,2.24,1,2.24,0,-0.05914,-0.25383,-0.19238,0.87345,34496.241,2.4174556120336,0,-0.17339,-0.3353,-0.21005,0.37668
2000-04-01,ZAF,ZAR,South Africa,9,6.72,1.33928571428571,-0.4021,-0.43746,-0.55387,-0.51713,0.12013,5208.99729777778,1.84640392492259,-0.21719,-0.35292,-0.47967,-0.38162,0.07768
2001-04-01,AUS,AUD,Australia,3,1.98,1.51515151515152,-0.32359,-0.33005,-0.46756,-0.36096,0.26722,26814.0245333333,2.15238100453326,-0.24752,-0.38165,-0.50395,-0.32048,-0.10835
2001-04-01,BRA,BRL,Brazil,3.6,2.19,1.64383561643836,-0.26614,-0.27315,-0.42234,-0.30668,0.37484,4399.42968888889,1.58119320633073,0.11129,-0.08679,-0.26741,0.00355,0.31684
2001-04-01,CAN,CAD,Canada,3.33,1.56,2.13461538461538,-0.04705,-0.05615,-0.24988,-0.09969,0.78531,24276.8953273273,2.08772771702166,0.09295,-0.10186,-0.27951,-0.01302,0.29511
2001-04-01,CHE,CHF,Switzerland,6.3,1.73,3.64161849710983,0.62572,0.6102,0.27969,0.53592,2.04572,23405.5064888889,2.06552224440616,0.8846,0.54869,0.24237,0.70188,1.23318
2001-04-01,CHL,CLP,Chile,1260,601,2.09650582362729,-0.06406,-0.073,-0.26327,-0.11576,0.75344,4891.30858666667,1.59372768337811,0.40617,0.15553,-0.07303,0.26983,0.66626
2001-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,-0.46623,-0.47132,-0.57984,-0.49571,0,1781.61907070707,1.51448392635099,-0.15609,-0.30651,-0.44368,-0.23791,0
2001-04-01,CZE,CZK,Czech Republic,56,39,1.43589743589744,-0.35897,-0.3651,-0.49542,-0.39438,0.20093,9286.88948,1.7057396197842,-0.10016,-0.26055,-0.40681,-0.1874,0.06628
2001-04-01,DNK,DKK,Denmark,24.75,8.46,2.92553191489362,0.30604,0.29357,0.02805,0.2339,1.44681,22531.2751321212,2.04324433631738,0.53052,0.25772,0.00895,0.38213,0.81361
2001-04-01,EUZ,EUR,Euro area,2.57,1.136363636,2.26160000072371,0.00964,0,-0.20526,-0.04613,0.89152,20309.194530968,1.98661938570776,0.2169,0,-0.19779,0.09892,0.44199
2001-04-01,GBR,GBP,Britain,1.99,0.699300699,2.84570000122365,0.2704,0.25827,0,0.20023,1.38004,21041.2902914573,2.00527527346346,0.51695,0.24656,0,0.36987,0.79752
2001-04-01,HKG,HKD,Hong Kong,10.7,7.8,1.37179487179487,-0.38759,-0.39344,-0.51794,-0.42142,0.14732,41719.4680523365,2.53221421249159,-0.42091,-0.52413,-0.61825,-0.47706,-0.3138
2001-04-01,HUN,HUF,Hungary,399,303,1.31683168316832,-0.41213,-0.41774,-0.53726,-0.4446,0.10135,7317.71624421053,1.65555947008104,-0.14976,-0.30131,-0.43951,-0.2322,0.0075
2001-04-01,IDN,IDR,Indonesia,14700,10855,1.35421464762782,-0.39544,-0.40121,-0.52412,-0.42883,0.13262,1116.68429714286,1.49753949207073,-0.03336,-0.20566,-0.36277,-0.12708,0.14543
2001-04-01,JPN,JPY,Japan,294,124,2.37096774193548,0.05847,0.04836,-0.16682,0,0.98299,32163.7690514286,2.28870775116613,0.10736,-0.09002,-0.27,0,0.31219
2001-04-01,KOR,KRW,South Korea,3000,1325,2.26415094339623,0.01078,0.00113,-0.20436,-0.04505,0.89365,10350.4182641067,1.73284136615681,0.3967,0.14775,-0.07927,0.26128,0.65503
2001-04-01,MEX,MXN,Mexico,21.9,9.29,2.35737351991389,0.0524,0.04235,-0.1716,-0.00573,0.97162,7222.38382465753,1.65313012816343,0.52432,0.25262,0.00486,0.37653,0.80626
2001-04-01,MYS,MYR,Malaysia,4.52,3.8,1.18947368421053,-0.46898,-0.47406,-0.58201,-0.49832,-0.00517,8187.58307964602,1.67772615771961,-0.24214,-0.37722,-0.5004,-0.31562,-0.10196
2001-04-01,NZL,NZD,New Zealand,3.6,2.47,1.45748987854251,-0.34933,-0.35555,-0.48783,-0.38528,0.21899,19075.7647111111,1.95518807642331,-0.20316,-0.34519,-0.47471,-0.28042,-0.05577
2001-04-01,PHL,PHP,Philippines,59,50.3,1.17296222664016,-0.47636,-0.48136,-0.58781,-0.50528,-0.01898,1824.32422508475,1.51557217547038,-0.1727,-0.32016,-0.45463,-0.25291,-0.01968
2001-04-01,POL,PLN,Poland,5.9,4.03,1.46401985111663,-0.34642,-0.35266,-0.48553,-0.38252,0.22445,7400.5142779661,1.65766940010318,-0.05593,-0.2242,-0.37765,-0.14746,0.11869
2001-04-01,RUS,RUB,Russia,35,28.9,1.21107266435986,-0.45934,-0.46451,-0.57442,-0.48921,0.0129,3417.246464,1.5561643767869,-0.1681,-0.31638,-0.4516,-0.24876,-0.01423
2001-04-01,SGP,SGD,Singapore,3.3,1.81,1.8232044198895,-0.18607,-0.19384,-0.35931,-0.23103,0.52486,27912.7160242424,2.18037879695162,-0.10616,-0.26548,-0.41077,-0.19282,0.05916
2001-04-01,SWE,SEK,Sweden,24,10.28,2.33463035019455,0.04225,0.03229,-0.17959,-0.01533,0.9526,25302.9407866667,2.11387428138488,0.18058,-0.02985,-0.22174,0.06611,0.39894
2001-04-01,THA,THB,Thailand,55,45.5,1.20879120879121,-0.46036,-0.46552,-0.57522,-0.49017,0.01099,3279.92513163636,1.5526650376276,-0.1678,-0.31613,-0.4514,-0.24848,-0.01387
2001-04-01,TWN,TWD,Taiwan,70,32.9,2.12765957446809,-0.05015,-0.05922,-0.25232,-0.10262,0.7795,14836.75696,1.84716607019371,0.23126,0.0118,-0.18833,0.11189,0.459
2001-04-01,USA,USD,United States,2.24,1,2.24,0,-0.00955,-0.21285,-0.05524,0.87345,36312.782,2.39443643318135,0,-0.17824,-0.34078,-0.09695,0.18496
